"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2019年1週"
"集計期間終了週","2023年52週"
"性別","男性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2023","1","0","6","30","26","28","31","39","29","27","26","29","108","72","181","70","43","31","10","4","2","792","409"
"2023","2","3","7","26","46","51","71","86","77","80","69","40","215","102","147","67","40","27","15","5","1","1175","410"
"2023","3","3","10","31","59","96","150","205","192","162","123","121","365","110","80","56","86","27","12","6","1","1895","414"
"2023","4","7","15","52","66","98","190","195","222","185","131","111","424","111","41","63","61","21","8","4","3","2008","414"
"2023","5","6","8","45","66","82","178","246","231","177","160","145","487","70","47","54","55","22","9","4","1","2093","413"
"2023","6","4","8","47","59","102","185","219","240","181","149","160","480","71","47","67","84","29","7","3","1","2143","413"
"2023","7","5","15","56","83","99","176","211","245","205","178","176","460","76","41","82","77","18","7","5","3","2218","412"
"2023","8","5","6","55","68","101","156","178","193","156","161","126","385","72","43","61","62","21","4","3","2","1858","410"
"2023","9","2","5","53","52","94","137","201","199","183","128","101","375","89","70","64","56","22","3","4","4","1842","413"
"2023","10","4","18","50","82","94","177","206","226","191","188","152","490","94","37","83","79","24","9","3","1","2208","412"
"2023","11","3","17","45","63","99","130","149","171","149","123","124","350","62","33","61","61","26","8","3","0","1677","408"
"2023","12","4","11","28","51","64","91","89","112","75","79","65","182","67","31","47","61","24","5","2","0","1088","413"
"2023","13","1","8","22","41","50","61","73","84","48","51","44","126","36","33","49","38","17","5","2","3","792","415"
"2023","14","0","4","21","28","32","48","54","52","38","21","24","62","31","10","22","37","7","7","4","0","502","411"
"2023","15","4","4","14","21","29","35","46","32","28","22","11","55","41","14","16","24","7","4","0","0","407","413"
"2023","16","1","3","10","9","26","33","51","38","35","35","21","58","40","13","12","10","6","3","2","1","407","412"
"2023","17","2","4","7","13","13","17","22","17","33","22","28","60","29","12","4","12","11","5","1","2","314","413"
"2023","18","0","1","8","8","9","10","16","24","36","24","7","50","22","4","6","10","3","1","0","1","240","410"
"2023","19","1","1","5","4","10","10","17","17","22","15","12","38","32","11","5","6","2","6","3","0","217","415"
"2023","20","0","5","8","11","16","25","23","46","47","35","30","100","44","14","12","10","8","1","2","1","438","416"
"2023","21","1","1","6","4","10","23","27","45","38","44","23","92","36","11","5","22","6","1","2","0","397","416"
"2023","22","0","1","10","6","13","17","31","31","30","47","31","75","28","7","13","17","5","0","1","0","363","417"
